Suburb Name or Postcode,Employment Regions (% of population in each Area)
AARONS PASS,Central West (100%)
ABBA RIVER,South West WA (100%)
ABBEY,South West WA (100%)
ABBEYWOOD,Wide Bay and Sunshine Coast (100%)
ABBOTSBURY,Sydney South West (100%)
ABBOTSFORD (NSW),Sydney East Metro (100%)
ABBOTSFORD (QLD),Wide Bay and Sunshine Coast (100%)
ABBOTSFORD (VIC),Inner Metropolitan Melbourne (100%)
ABBOTSHAM,North and North Western Tasmania (100%)
ABELS BAY,Hobart and Southern Tasmania (100%)
ABERCORN,Wide Bay and Sunshine Coast (100%)
ABERCROMBIE,Central West (100%)
ABERCROMBIE RIVER,Central West (100%)
ABERDARE,Hunter (100%)
ABERDEEN (NSW),Hunter (100%)
ABERDEEN (TAS),North and North Western Tasmania (100%)
ABERFELDIE,Inner Metropolitan Melbourne(97.6%);North Western Melbourne(2.4%)
ABERFOYLE,New England and North West (100%)
ABERFOYLE PARK,Adelaide South (100%)
ABERGLASSLYN,Hunter (100%)
ABERGOWRIE,Townsville (100%)
ABERMAIN,Hunter (100%)
ABERNETHY,Hunter (100%)
ABINGTON (NSW),New England and North West (100%)
ABINGTON (QLD),Wide Bay and Sunshine Coast (100%)
ACACIA CREEK,New England and North West (100%)
ACACIA GARDENS,Sydney Greater West (100%)
ACACIA HILLS (TAS),North and North Western Tasmania (100%)
ACACIA RIDGE,Brisbane South East (100%)
ACHERON,Goulburn/Murray (100%)
ACLAND,Darling Downs (100%)
ACTON (ACT),Capital Region (100%)
ACTON (TAS),North and North Western Tasmania (100%)
ACTON PARK (TAS),Hobart and Southern Tasmania (100%)
ACTON PARK (WA),South West WA (100%)
ADAMINABY,Capital Region (100%)
ADAMS ESTATE,Gippsland (100%)
ADAMSTOWN,Hunter (100%)
ADAMSTOWN HEIGHTS,Hunter (100%)
ADAMSVALE,Great Southern - Wheatbelt (100%)
ADARE,Darling Downs (100%)
ADDINGTON,Ballarat (100%)
ADELAIDE,Adelaide South (100%)
ADELAIDE LEAD,Ballarat (100%)
ADELAIDE PARK,Fitzroy (100%)
ADELONG,Murray Riverina (100%)
ADJUNGBILLY,Murray Riverina (100%)
ADVANCETOWN,Gold Coast (100%)
ADVENTURE BAY,Hobart and Southern Tasmania (100%)
AEROGLEN,Cairns (100%)
AFTERLEE,North Coast (100%)
AGERY,Mid North SA (100%)
AGNES,Gippsland (100%)
AGNES BANKS,Sydney Greater West (100%)
AGNES WATER,Fitzroy (100%)
AINSLIE,Capital Region (100%)
AIRDMILLAN,Townsville (100%)
AIRDS,Sydney South West (100%)
AIREYS INLET,Barwon (100%)
AIRLIE BEACH,Mackay (100%)
AIRLY,Gippsland (100%)
AIRPORT WEST,North Western Melbourne (100%)
AIRVILLE,Townsville (100%)
AITKENVALE,Townsville (100%)
AKAROA,North and North Western Tasmania (100%)
AKOLELE,Illawarra South Coast (100%)
ALABAMA HILL,Townsville (100%)
ALAWA,Darwin (100%)
ALAWOONA,Murray and South East (100%)
ALBANVALE,Western Melbourne (100%)
ALBANY,Great Southern - Wheatbelt (100%)
ALBANY CREEK,Somerset (100%)
ALBERT,Central West (100%)
ALBERT PARK (SA),Adelaide North (100%)
ALBERT PARK (VIC),Inner Metropolitan Melbourne (100%)
ALBERTA,Fitzroy (100%)
ALBERTON (QLD),Gold Coast (100%)
ALBERTON (SA),Adelaide North (100%)
ALBERTON (TAS),North and North Western Tasmania (100%)
ALBERTON (VIC),Gippsland (100%)
ALBERTON WEST,Gippsland (100%)
ALBINIA,Fitzroy (100%)
ALBION (QLD 4010),Somerset (100%)
ALBION (VIC),Western Melbourne (100%)
ALBION PARK,Illawarra South Coast (100%)
ALBION PARK RAIL,Illawarra South Coast (100%)
ALBURY,Goulburn/Murray (100%)
ALCOMIE,North and North Western Tasmania (100%)
ALDAVILLA,Mid North Coast (100%)
ALDERLEY,Somerset (100%)
ALDERSHOT,Wide Bay and Sunshine Coast (100%)
ALDERSYDE,Great Southern - Wheatbelt (100%)
ALDGATE,Adelaide South (100%)
ALDINGA,Adelaide South (100%)
ALDINGA BEACH,Adelaide South (100%)
ALDOGA,Fitzroy (100%)
ALECTOWN,Central West (100%)
ALEXANDER HEIGHTS,Perth North (100%)
ALEXANDRA (QLD),Mackay (100%)
ALEXANDRA (VIC),Goulburn/Murray (100%)
ALEXANDRA BRIDGE,South West WA (100%)
ALEXANDRA HEADLAND,Wide Bay and Sunshine Coast (100%)
ALEXANDRA HILLS,Brisbane South East (100%)
ALEXANDRIA,Sydney East Metro (100%)
ALFORD,Mid North SA (100%)
ALFORDS POINT,Sydney East Metro (100%)
ALFRED COVE,Perth South (100%)
ALFREDTON,Ballarat (100%)
ALFREDTOWN,Murray Riverina (100%)
ALGESTER,Brisbane South East (100%)
ALICE,North Coast (100%)
ALICE CREEK,Wide Bay and Sunshine Coast (100%)
ALICE RIVER,Townsville (100%)
ALICE SPRINGS,Darwin (100%)
ALISON (NSW 2259),Sydney North and West (100%)
ALISON (NSW 2420),Hunter (100%)
ALKIMOS,Perth North (100%)
ALLAMBEE,Gippsland (100%)
ALLAMBEE RESERVE,Gippsland (100%)
ALLAMBEE SOUTH,Gippsland (100%)
ALLAMBIE HEIGHTS,Sydney North and West (100%)
ALLAN,Darling Downs (100%)
ALLANDALE (NSW),Hunter (100%)
ALLANDALE (QLD),Wivenhoe (100%)
ALLANS FLAT,Goulburn/Murray (100%)
ALLANSFORD,South Coast of Victoria (100%)
ALLANSON,South West WA (100%)
ALLAWAH,Sydney East Metro (100%)
ALLEENA,Central West (100%)
ALLENBY GARDENS,Adelaide North (100%)
ALLENDALE,Ballarat (100%)
ALLENDALE EAST,Murray and South East (100%)
ALLENDALE NORTH,Mid North SA (100%)
ALLENS RIVULET,Hobart and Southern Tasmania (100%)
ALLENSTOWN,Fitzroy (100%)
ALLENVIEW,Brisbane South East (100%)
ALLESTREE,South Coast of Victoria (100%)
ALLGOMERA,Mid North Coast (100%)
ALLIGATOR CREEK (QLD 4740),Mackay (100%)
ALLIGATOR CREEK (QLD 4816),Townsville (100%)
ALLORA,Darling Downs (100%)
ALLOWAY,Wide Bay and Sunshine Coast (100%)
ALLWORTH,Mid North Coast (100%)
ALLYNBROOK,Hunter (100%)
ALMA (SA),Mid North SA (100%)
ALMA (VIC),Ballarat (100%)
ALMA PARK,Murray Riverina (100%)
ALMONDS,Goulburn/Murray (100%)
ALMURTA,Gippsland (100%)
ALONNAH,Hobart and Southern Tasmania (100%)
ALOOMBA,Cairns (100%)
ALPHINGTON,Inner Metropolitan Melbourne (100%)
ALPINE,Illawarra South Coast (100%)
ALSACE,Fitzroy (100%)
ALSTONVALE,North Coast (100%)
ALSTONVILLE,North Coast (100%)
ALTON DOWNS,Fitzroy (100%)
ALTONA (SA),Mid North SA (100%)
