State and territory,Leave entitlements,Industry,Classification,Category,Median ,<edian Male,Median Female
Australia,Total employees,"Agriculture, forestry and fishing",Full-time or part-time status,Full-time,"1,250.0","1,244.5","1,275.5"
Australia,Total employees,Mining,Full-time or part-time status,Full-time,"2,452.3","2,612.6","1,738.2"
Australia,Total employees,Manufacturing,Full-time or part-time status,Full-time,"1,512.1","1,571.0","1,400.0"
Australia,Total employees,"Electricity, gas, water and waste services",Full-time or part-time status,Full-time,"2,000.0","2,052.7","1,701.5"
Australia,Total employees,Construction,Full-time or part-time status,Full-time,"1,538.0","1,550.0","1,400.0"
Australia,Total employees,Wholesale trade,Full-time or part-time status,Full-time,"1,472.2","1,507.0","1,301.6"
Australia,Total employees,Retail trade,Full-time or part-time status,Full-time,"1,228.9","1,349.5","1,150.0"
Australia,Total employees,Accommodation and food services,Full-time or part-time status,Full-time,"1,193.1","1,247.2","1,114.0"
Australia,Total employees,"Transport, postal and warehousing",Full-time or part-time status,Full-time,"1,550.5","1,605.5","1,397.3"
Australia,Total employees,Information Media and telecommunications,Full-time or part-time status,Full-time,"1,803.1","1,918.4","1,600.0"
Australia,Total employees,Financial and insurance services,Full-time or part-time status,Full-time,"1,899.0","2,199.4","1,686.2"
Australia,Total employees,"Rental, hiring and real estate services",Full-time or part-time status,Full-time,"1,395.0","1,455.7","1,301.9"
Australia,Total employees,"Professional, scientific and technical services",Full-time or part-time status,Full-time,"1,900.0","2,109.0","1,726.0"
Australia,Total employees,Administrative and support services,Full-time or part-time status,Full-time,"1,400.0","1,531.4","1,343.6"
Australia,Total employees,Public administration and safety,Full-time or part-time status,Full-time,"1,750.0","1,800.0","1,724.3"
Australia,Total employees,Education and training,Full-time or part-time status,Full-time,"1,750.0","1,931.9","1,690.6"
Australia,Total employees,Health care and social assistance,Full-time or part-time status,Full-time,"1,579.4","1,750.0","1,530.0"
Australia,Total employees,Arts and recreation services,Full-time or part-time status,Full-time,"1,450.0","1,596.8","1,300.0"
Australia,Total employees,Other services,Full-time or part-time status,Full-time,"1,350.0","1,488.8","1,160.0"
Australia,Total employees,Total,Full-time or part-time status,Full-time,"1,600.0","1,692.0","1,500.0"
   New South Wales,Total employees,"Agriculture, forestry and fishing",Full-time or part-time status,Full-time,"1,216.8","1,200.0",0.0
   New South Wales,Total employees,Mining,Full-time or part-time status,Full-time,"2,750.6","2,822.4",0.0
   New South Wales,Total employees,Manufacturing,Full-time or part-time status,Full-time,"1,607.5","1,650.0","1,525.6"
   New South Wales,Total employees,"Electricity, gas, water and waste services",Full-time or part-time status,Full-time,"1,903.2","1,942.9","1,454.5"
   New South Wales,Total employees,Construction,Full-time or part-time status,Full-time,"1,501.0","1,501.1","1,589.8"
   New South Wales,Total employees,Wholesale trade,Full-time or part-time status,Full-time,"1,491.2","1,503.4","1,336.0"
   New South Wales,Total employees,Retail trade,Full-time or part-time status,Full-time,"1,301.6","1,361.4","1,200.0"
   New South Wales,Total employees,Accommodation and food services,Full-time or part-time status,Full-time,"1,252.8","1,385.2","1,199.8"
   New South Wales,Total employees,"Transport, postal and warehousing",Full-time or part-time status,Full-time,"1,567.8","1,629.3","1,399.7"
   New South Wales,Total employees,Information Media and telecommunications,Full-time or part-time status,Full-time,"2,006.1","2,301.0","1,768.4"
   New South Wales,Total employees,Financial and insurance services,Full-time or part-time status,Full-time,"2,202.0","2,401.2","2,000.0"
   New South Wales,Total employees,"Rental, hiring and real estate services",Full-time or part-time status,Full-time,"1,412.9","1,738.3","1,332.0"
   New South Wales,Total employees,"Professional, scientific and technical services",Full-time or part-time status,Full-time,"2,000.0","2,224.8","1,818.6"
   New South Wales,Total employees,Administrative and support services,Full-time or part-time status,Full-time,"1,424.0","1,746.6","1,270.9"
   New South Wales,Total employees,Public administration and safety,Full-time or part-time status,Full-time,"1,768.4","1,748.0","1,842.0"
   New South Wales,Total employees,Education and training,Full-time or part-time status,Full-time,"1,775.0","1,912.6","1,749.7"
   New South Wales,Total employees,Health care and social assistance,Full-time or part-time status,Full-time,"1,600.0","1,726.0","1,558.0"
   New South Wales,Total employees,Arts and recreation services,Full-time or part-time status,Full-time,"1,355.3","1,379.8","1,300.0"
