Years,State and territory,Leave entitlements,Industry,Median_Weekly_Earnings,Median Weekly Earnings Divide 10
2014,   New South Wales,Total employees,"Agriculture, forestry and fishing",968,96.84
2014,   New South Wales,Total employees,Mining,2271,227.09
2014,   New South Wales,Total employees,Manufacturing,1153,115.33
2014,   New South Wales,Total employees,"Electricity, gas, water and waste services",1300,130
2014,   New South Wales,Total employees,Construction,1216,121.61
2014,   New South Wales,Total employees,Wholesale trade,1246,124.6
2014,   New South Wales,Total employees,Retail trade,901,90.11
2014,   New South Wales,Total employees,Accommodation and food services,898,89.75
2014,   New South Wales,Total employees,"Transport, postal and warehousing",1200,120
2014,   New South Wales,Total employees,Information Media and telecommunications,1500,150
2014,   New South Wales,Total employees,Financial and insurance services,1450,145
2014,   New South Wales,Total employees,"Rental, hiring and real estate services",1144,114.36
2014,   New South Wales,Total employees,"Professional, scientific and technical services",1500,150
2014,   New South Wales,Total employees,Administrative and support services,1100,110
2014,   New South Wales,Total employees,Public administration and safety,1400,140
2014,   New South Wales,Total employees,Education and training,1462,146.22
2014,   New South Wales,Total employees,Health care and social assistance,1170,117.01
2014,   New South Wales,Total employees,Arts and recreation services,1166,116.57
2014,   New South Wales,Total employees,Other services,1100,110
2014,   Victoria,Total employees,"Agriculture, forestry and fishing",862,86.22
2014,   Victoria,Total employees,Mining,1972,197.22
2014,   Victoria,Total employees,Manufacturing,1100,110.04
2014,   Victoria,Total employees,"Electricity, gas, water and waste services",1328,132.75
2014,   Victoria,Total employees,Construction,1200,120
2014,   Victoria,Total employees,Wholesale trade,1080,108.01
2014,   Victoria,Total employees,Retail trade,900,90
2014,   Victoria,Total employees,Accommodation and food services,896,89.59
2014,   Victoria,Total employees,"Transport, postal and warehousing",1385,138.53
2014,   Victoria,Total employees,Information Media and telecommunications,1349,134.93
2014,   Victoria,Total employees,Financial and insurance services,1417,141.73
2014,   Victoria,Total employees,"Rental, hiring and real estate services",1158,115.79
2014,   Victoria,Total employees,"Professional, scientific and technical services",1401,140.09
2014,   Victoria,Total employees,Administrative and support services,1090,109
2014,   Victoria,Total employees,Public administration and safety,1314,131.36
2014,   Victoria,Total employees,Education and training,1300,130
2014,   Victoria,Total employees,Health care and social assistance,1054,105.4
2014,   Victoria,Total employees,Arts and recreation services,1027,102.7
2014,   Victoria,Total employees,Other services,958,95.8
2014,   Queensland,Total employees,"Agriculture, forestry and fishing",1022,102.15
2014,   Queensland,Total employees,Mining,2123,212.33
2014,   Queensland,Total employees,Manufacturing,1131,113.13
2014,   Queensland,Total employees,"Electricity, gas, water and waste services",1560,156.03
2014,   Queensland,Total employees,Construction,1300,130
2014,   Queensland,Total employees,Wholesale trade,1100,110
2014,   Queensland,Total employees,Retail trade,900,90
2014,   Queensland,Total employees,Accommodation and food services,879,87.9
2014,   Queensland,Total employees,"Transport, postal and warehousing",1250,125
2014,   Queensland,Total employees,Information Media and telecommunications,1241,124.13
2014,   Queensland,Total employees,Financial and insurance services,1300,130
2014,   Queensland,Total employees,"Rental, hiring and real estate services",1000,100
2014,   Queensland,Total employees,"Professional, scientific and technical services",1380,138
2014,   Queensland,Total employees,Administrative and support services,898,89.77
2014,   Queensland,Total employees,Public administration and safety,1262,126.17
2014,   Queensland,Total employees,Education and training,1411,141.09
2014,   Queensland,Total employees,Health care and social assistance,1100,110
2014,   Queensland,Total employees,Arts and recreation services,1190,118.95
2014,   Queensland,Total employees,Other services,1000,100
2014,   South Australia,Total employees,"Agriculture, forestry and fishing",1000,100
2014,   South Australia,Total employees,Mining,1990,198.99
2014,   South Australia,Total employees,Manufacturing,1049,104.86
2014,   South Australia,Total employees,"Electricity, gas, water and waste services",1250,125
2014,   South Australia,Total employees,Construction,1100,110
2014,   South Australia,Total employees,Wholesale trade,1068,106.83
2014,   South Australia,Total employees,Retail trade,900,90
2014,   South Australia,Total employees,Accommodation and food services,939,93.89
2014,   South Australia,Total employees,"Transport, postal and warehousing",1264,126.36
2014,   South Australia,Total employees,Information Media and telecommunications,1200,120
2014,   South Australia,Total employees,Financial and insurance services,1109,110.9
2014,   South Australia,Total employees,"Rental, hiring and real estate services",1188,118.82
2014,   South Australia,Total employees,"Professional, scientific and technical services",1283,128.26
2014,   South Australia,Total employees,Administrative and support services,949,94.85
2014,   South Australia,Total employees,Public administration and safety,1250,125
2014,   South Australia,Total employees,Education and training,1400,140
2014,   South Australia,Total employees,Health care and social assistance,1054,105.42
2014,   South Australia,Total employees,Arts and recreation services,1256,125.55
2014,   South Australia,Total employees,Other services,934,93.37
2014,   Western Australia,Total employees,"Agriculture, forestry and fishing",1271,127.12
2014,   Western Australia,Total employees,Mining,2220,222.04
2014,   Western Australia,Total employees,Manufacturing,1261,126.13
2014,   Western Australia,Total employees,"Electricity, gas, water and waste services",2008,200.78
2014,   Western Australia,Total employees,Construction,1560,156
2014,   Western Australia,Total employees,Wholesale trade,1296,129.61
2014,   Western Australia,Total employees,Retail trade,1000,100
2014,   Western Australia,Total employees,Accommodation and food services,1011,101.12
2014,   Western Australia,Total employees,"Transport, postal and warehousing",1250,125
2014,   Western Australia,Total employees,Information Media and telecommunications,1200,120
2014,   Western Australia,Total employees,Financial and insurance services,1366,136.64
2014,   Western Australia,Total employees,"Rental, hiring and real estate services",1200,119.95
2014,   Western Australia,Total employees,"Professional, scientific and technical services",1491,149.09
2014,   Western Australia,Total employees,Administrative and support services,1300,130
2014,   Western Australia,Total employees,Public administration and safety,1500,150
2014,   Western Australia,Total employees,Education and training,1581,158.08
2014,   Western Australia,Total employees,Health care and social assistance,1245,124.45
2014,   Western Australia,Total employees,Arts and recreation services,1024,102.36
2014,   Western Australia,Total employees,Other services,1200,120
