Survey month,State and territory,Leave entitlements,Industry,Median Weekly Earnings,,,,,,,,,,,,,,
2014,   New South Wales,Total employees,"Agriculture, forestry and fishing",968.4,,,,,,,,,,,,,,
2014,   New South Wales,Total employees,Mining,"2,270.9",,,,,,,,,,,,,,
2014,   New South Wales,Total employees,Manufacturing,"1,153.3",,,,,,,,,,,,,,
2014,   New South Wales,Total employees,"Electricity, gas, water and waste services","1,300.0",,,,,,,,,,,,,,
2014,   New South Wales,Total employees,Construction,"1,216.1",,,,,,,,,,,,,,
2014,   New South Wales,Total employees,Wholesale trade,"1,246.0",,,,,,,,,,,,,,
2014,   New South Wales,Total employees,Retail trade,901.1,,,,,,,,,,,,,,
2014,   New South Wales,Total employees,Accommodation and food services,897.5,,,,,,,,,,,,,,
2014,   New South Wales,Total employees,"Transport, postal and warehousing","1,200.0",,,,,,,,,,,,,,
2014,   New South Wales,Total employees,Information Media and telecommunications,"1,500.0",,,,,,,,,,,,,,
2014,   New South Wales,Total employees,Financial and insurance services,"1,450.0",,,,,,,,,,,,,,
2014,   New South Wales,Total employees,"Rental, hiring and real estate services","1,143.6",,,,,,,,,,,,,,
2014,   New South Wales,Total employees,"Professional, scientific and technical services","1,500.0",,,,,,,,,,,,,,
2014,   New South Wales,Total employees,Administrative and support services,"1,100.0",,,,,,,,,,,,,,
2014,   New South Wales,Total employees,Public administration and safety,"1,400.0",,,,,,,,,,,,,,
2014,   New South Wales,Total employees,Education and training,"1,462.2",,,,,,,,,,,,,,
2014,   New South Wales,Total employees,Health care and social assistance,"1,170.1",,,,,,,,,,,,,,
2014,   New South Wales,Total employees,Arts and recreation services,"1,165.7",,,,,,,,,,,,,,
2014,   New South Wales,Total employees,Other services,"1,100.0",,,,,,,,,,,,,,
2014,   Victoria,Total employees,"Agriculture, forestry and fishing",862.2,,,,,,,,,,,,,,
2014,   Victoria,Total employees,Mining,"1,972.2",,,,,,,,,,,,,,
2014,   Victoria,Total employees,Manufacturing,"1,100.4",,,,,,,,,,,,,,
2014,   Victoria,Total employees,"Electricity, gas, water and waste services","1,327.5",,,,,,,,,,,,,,
2014,   Victoria,Total employees,Construction,"1,200.0",,,,,,,,,,,,,,
2014,   Victoria,Total employees,Wholesale trade,"1,080.1",,,,,,,,,,,,,,
2014,   Victoria,Total employees,Retail trade,900.0,,,,,,,,,,,,,,
2014,   Victoria,Total employees,Accommodation and food services,895.9,,,,,,,,,,,,,,
2014,   Victoria,Total employees,"Transport, postal and warehousing","1,385.3",,,,,,,,,,,,,,
2014,   Victoria,Total employees,Information Media and telecommunications,"1,349.3",,,,,,,,,,,,,,
2014,   Victoria,Total employees,Financial and insurance services,"1,417.3",,,,,,,,,,,,,,
