"Date","Sector","Total_Employed"
1984,"Manufacturing, Construction, and Trade",2984.3
1984,"Other Services",277
1984,"Primary Industries",656.9
1984,"Public Services and Community Support",1778
1984,"Services",880
1985,"Manufacturing, Construction, and Trade",3029.8
1985,"Other Services",288.2
1985,"Primary Industries",657.75
1985,"Public Services and Community Support",1791.925
1985,"Services",935.025
1986,"Manufacturing, Construction, and Trade",3107.55
1986,"Other Services",306.275
1986,"Primary Industries",676.675
1986,"Public Services and Community Support",1870.975
1986,"Services",986.95
1987,"Manufacturing, Construction, and Trade",3149.025
1987,"Other Services",316.175
1987,"Primary Industries",649.825
1987,"Public Services and Community Support",1949.925
1987,"Services",1035.175
1988,"Manufacturing, Construction, and Trade",3279.2
1988,"Other Services",338.625
1988,"Primary Industries",657.55
1988,"Public Services and Community Support",1995.85
1988,"Services",1094.8
1989,"Manufacturing, Construction, and Trade",3462.825
1989,"Other Services",348.15
1989,"Primary Industries",656.65
1989,"Public Services and Community Support",2080.775
1989,"Services",1167.925
1990,"Manufacturing, Construction, and Trade",3443.325
1990,"Other Services",354.425
1990,"Primary Industries",651.925
1990,"Public Services and Community Support",2179.8
1990,"Services",1207.075
1991,"Manufacturing, Construction, and Trade",3277
1991,"Other Services",354.25
1991,"Primary Industries",615.7
1991,"Public Services and Community Support",2222.35
1991,"Services",1192.75
1992,"Manufacturing, Construction, and Trade",3212.875
1992,"Other Services",367.875
1992,"Primary Industries",587.625
1992,"Public Services and Community Support",2247.725
1992,"Services",1191.175
1993,"Manufacturing, Construction, and Trade",3243.225
1993,"Other Services",363.55
1993,"Primary Industries",585.1
1993,"Public Services and Community Support",2284.825
1993,"Services",1144.825
1994,"Manufacturing, Construction, and Trade",3333
1994,"Other Services",372.25
1994,"Primary Industries",573.675
1994,"Public Services and Community Support",2338.425
1994,"Services",1247.975
1995,"Manufacturing, Construction, and Trade",3405.4
1995,"Other Services",397.625
1995,"Primary Industries",568.925
1995,"Public Services and Community Support",2457.225
1995,"Services",1341.1
1996,"Manufacturing, Construction, and Trade",3434
1996,"Other Services",409.525
1996,"Primary Industries",572.125
1996,"Public Services and Community Support",2483.175
1996,"Services",1382.075
1997,"Manufacturing, Construction, and Trade",3420.1
1997,"Other Services",403.925
1997,"Primary Industries",569.025
1997,"Public Services and Community Support",2518.45
1997,"Services",1422.025
1998,"Manufacturing, Construction, and Trade",3462.525
1998,"Other Services",410.85
1998,"Primary Industries",574.275
1998,"Public Services and Community Support",2556.45
1998,"Services",1472.05
1999,"Manufacturing, Construction, and Trade",3518.7
1999,"Other Services",413.575
1999,"Primary Industries",583
1999,"Public Services and Community Support",2623.15
1999,"Services",1494.2
2000,"Manufacturing, Construction, and Trade",3574.9
2000,"Other Services",391.5
2000,"Primary Industries",589.825
2000,"Public Services and Community Support",2699.8
2000,"Services",1604.825
2001,"Manufacturing, Construction, and Trade",3546.325
2001,"Other Services",413.95
2001,"Primary Industries",587.775
2001,"Public Services and Community Support",2800.675
2001,"Services",1639.475
2002,"Manufacturing, Construction, and Trade",3617.85
2002,"Other Services",418.075
2002,"Primary Industries",568.85
2002,"Public Services and Community Support",2921.95
2002,"Services",1639.3
2003,"Manufacturing, Construction, and Trade",3726.775
2003,"Other Services",421.65
2003,"Primary Industries",546.875
2003,"Public Services and Community Support",2980.175
2003,"Services",1701.3
2004,"Manufacturing, Construction, and Trade",3791.4
2004,"Other Services",416.175
2004,"Primary Industries",546.55
2004,"Public Services and Community Support",3064.925
2004,"Services",1701.55
2005,"Manufacturing, Construction, and Trade",3894.5
2005,"Other Services",403.975
2005,"Primary Industries",570.55
2005,"Public Services and Community Support",3163.85
2005,"Services",1819.75
2006,"Manufacturing, Construction, and Trade",3961.4
2006,"Other Services",414.025
2006,"Primary Industries",580.85
2006,"Public Services and Community Support",3236.65
2006,"Services",1894.7
2007,"Manufacturing, Construction, and Trade",4083.925
2007,"Other Services",440.075
2007,"Primary Industries",585.875
2007,"Public Services and Community Support",3356.275
2007,"Services",1941.475
2008,"Manufacturing, Construction, and Trade",4215.575
2008,"Other Services",454.15
2008,"Primary Industries",629.725
2008,"Public Services and Community Support",3436.45
2008,"Services",1959.35
2009,"Manufacturing, Construction, and Trade",4164.25
2009,"Other Services",441
2009,"Primary Industries",644.375
2009,"Public Services and Community Support",3587.575
2009,"Services",1937.825
2010,"Manufacturing, Construction, and Trade",4142.675
2010,"Other Services",455.425
2010,"Primary Industries",683.375
2010,"Public Services and Community Support",3687.675
2010,"Services",2022.05
2011,"Manufacturing, Construction, and Trade",4151.1
2011,"Other Services",442.25
2011,"Primary Industries",682.95
2011,"Public Services and Community Support",3829.775
2011,"Services",2071.15
2012,"Manufacturing, Construction, and Trade",4092.475
2012,"Other Services",453
2012,"Primary Industries",730.05
2012,"Public Services and Community Support",3888.375
2012,"Services",2154.5
2013,"Manufacturing, Construction, and Trade",4162.1
2013,"Other Services",458.475
2013,"Primary Industries",708.775
2013,"Public Services and Community Support",3997.05
2013,"Services",2104.675
2014,"Manufacturing, Construction, and Trade",4168.975
2014,"Other Services",486.2
2014,"Primary Industries",711.05
2014,"Public Services and Community Support",4031.825
2014,"Services",2145.1
2015,"Manufacturing, Construction, and Trade",4157.65
2015,"Other Services",478.9
2015,"Primary Industries",677.375
2015,"Public Services and Community Support",4222.175
2015,"Services",2249.7
2016,"Manufacturing, Construction, and Trade",4200.65
2016,"Other Services",472.6
2016,"Primary Industries",670.425
2016,"Public Services and Community Support",4330.45
2016,"Services",2302.025
2017,"Manufacturing, Construction, and Trade",4264.625
2017,"Other Services",504.975
2017,"Primary Industries",693.35
2017,"Public Services and Community Support",4493.35
2017,"Services",2276.9
2018,"Manufacturing, Construction, and Trade",4382.05
2018,"Other Services",479.675
2018,"Primary Industries",742
2018,"Public Services and Community Support",4611.3
2018,"Services",2339.975
2019,"Manufacturing, Construction, and Trade",4367.2
2019,"Other Services",512.6
2019,"Primary Industries",747.975
2019,"Public Services and Community Support",4777.35
2019,"Services",2446.725
2020,"Manufacturing, Construction, and Trade",4263.35
2020,"Other Services",456.75
2020,"Primary Industries",763
2020,"Public Services and Community Support",4697.525
2020,"Services",2422.225
2021,"Manufacturing, Construction, and Trade",4334.8
2021,"Other Services",526.875
2021,"Primary Industries",758.625
2021,"Public Services and Community Support",4921.975
2021,"Services",2500.875
2022,"Manufacturing, Construction, and Trade",4434.175
2022,"Other Services",519.5
2022,"Primary Industries",768.25
2022,"Public Services and Community Support",5214.375
2022,"Services",2673.825
2023,"Manufacturing, Construction, and Trade",4643.1
2023,"Other Services",520.975
2023,"Primary Industries",776.375
2023,"Public Services and Community Support",5445.225
2023,"Services",2690.175
2024,"Manufacturing, Construction, and Trade",4665.8666664
2024,"Other Services",521.9
2024,"Primary Industries",819.7333334
2024,"Public Services and Community Support",5649.9666664
2024,"Services",2725.8666666
