Years,State and territory,Industry,Median Weekly Earnings
2014,   Australian Capital Territory,"Manufacturing, Construction, and Trade",945.6
2014,   Australian Capital Territory,Other Services,1060
2014,   Australian Capital Territory,Primary Industries,553.6666667
2014,   Australian Capital Territory,Public Services and Community Support,1326.2
2014,   Australian Capital Territory,"Professional , Financial and Administrative Services",1493.4
2014,   New South Wales,"Manufacturing, Construction, and Trade",1143.2
2014,   New South Wales,Other Services,1100
2014,   New South Wales,Primary Industries,1513
2014,   New South Wales,Public Services and Community Support,1219.2
2014,   New South Wales,"Professional , Financial and Administrative Services",1338.8
2014,   Northern Territory,"Manufacturing, Construction, and Trade",1378.4
2014,   Northern Territory,Other Services,1350
2014,   Northern Territory,Primary Industries,1376.666667
2014,   Northern Territory,Public Services and Community Support,1261.2
2014,   Northern Territory,"Professional , Financial and Administrative Services",1374.4
2014,   Queensland,"Manufacturing, Construction, and Trade",1136.2
2014,   Queensland,Other Services,1000
2014,   Queensland,Primary Industries,1568.333333
2014,   Queensland,Public Services and Community Support,1168.4
2014,   Queensland,"Professional , Financial and Administrative Services",1163.8
2014,   South Australia,"Manufacturing, Construction, and Trade",1076.2
2014,   South Australia,Other Services,934
2014,   South Australia,Primary Industries,1413.333333
2014,   South Australia,Public Services and Community Support,1179.8
2014,   South Australia,"Professional , Financial and Administrative Services",1145.8
2014,   Tasmania,"Manufacturing, Construction, and Trade",1031.6
2014,   Tasmania,Other Services,891
2014,   Tasmania,Primary Industries,1373.333333
2014,   Tasmania,Public Services and Community Support,1132.6
2014,   Tasmania,"Professional , Financial and Administrative Services",1002.6
2014,   Victoria,"Manufacturing, Construction, and Trade",1133
2014,   Victoria,Other Services,958
2014,   Victoria,Primary Industries,1387.333333
2014,   Victoria,Public Services and Community Support,1118.2
2014,   Victoria,"Professional , Financial and Administrative Services",1283
2014,   Western Australia,"Manufacturing, Construction, and Trade",1273.4
2014,   Western Australia,Other Services,1200
2014,   Western Australia,Primary Industries,1833
2014,   Western Australia,Public Services and Community Support,1272.2
2014,   Western Australia,"Professional , Financial and Administrative Services",1311.4
2015,   Australian Capital Territory,"Manufacturing, Construction, and Trade",1312.8
2015,   Australian Capital Territory,Other Services,1303
2015,   Australian Capital Territory,Primary Industries,555.6666667
2015,   Australian Capital Territory,Public Services and Community Support,1355.4
2015,   Australian Capital Territory,"Professional , Financial and Administrative Services",1097.4
2015,   New South Wales,"Manufacturing, Construction, and Trade",1135.6
2015,   New South Wales,Other Services,1020
2015,   New South Wales,Primary Industries,1541.666667
2015,   New South Wales,Public Services and Community Support,1251.2
2015,   New South Wales,"Professional , Financial and Administrative Services",1351.8
2015,   Northern Territory,"Manufacturing, Construction, and Trade",1180.4
2015,   Northern Territory,Other Services,1073
2015,   Northern Territory,Primary Industries,1541
2015,   Northern Territory,Public Services and Community Support,1248.2
2015,   Northern Territory,"Professional , Financial and Administrative Services",1161
2015,   Queensland,"Manufacturing, Construction, and Trade",1103.4
2015,   Queensland,Other Services,1145
2015,   Queensland,Primary Industries,1582
2015,   Queensland,Public Services and Community Support,1158
2015,   Queensland,"Professional , Financial and Administrative Services",1202.6
2015,   South Australia,"Manufacturing, Construction, and Trade",1095.4
2015,   South Australia,Other Services,1000
2015,   South Australia,Primary Industries,1561.333333
2015,   South Australia,Public Services and Community Support,1200.2
2015,   South Australia,"Professional , Financial and Administrative Services",1273.8
2015,   Tasmania,"Manufacturing, Construction, and Trade",1049.6
2015,   Tasmania,Other Services,800
2015,   Tasmania,Primary Industries,1232.333333
2015,   Tasmania,Public Services and Community Support,1146
2015,   Tasmania,"Professional , Financial and Administrative Services",1190.6
2015,   Victoria,"Manufacturing, Construction, and Trade",1125.4
2015,   Victoria,Other Services,970
2015,   Victoria,Primary Industries,1488.333333
2015,   Victoria,Public Services and Community Support,1193.4
2015,   Victoria,"Professional , Financial and Administrative Services",1292
2015,   Western Australia,"Manufacturing, Construction, and Trade",1216.6
2015,   Western Australia,Other Services,1206
2015,   Western Australia,Primary Industries,1558.333333
2015,   Western Australia,Public Services and Community Support,1240.6
2015,   Western Australia,"Professional , Financial and Administrative Services",1393.2
2016,   Australian Capital Territory,"Manufacturing, Construction, and Trade",1302.6
2016,   Australian Capital Territory,Other Services,1127
2016,   Australian Capital Territory,Primary Industries,569.6666667
2016,   Australian Capital Territory,Public Services and Community Support,1351
2016,   Australian Capital Territory,"Professional , Financial and Administrative Services",1052.6
2016,   New South Wales,"Manufacturing, Construction, and Trade",1197.4
2016,   New South Wales,Other Services,1127
2016,   New South Wales,Primary Industries,1456
2016,   New South Wales,Public Services and Community Support,1212.4
2016,   New South Wales,"Professional , Financial and Administrative Services",1374.2
2016,   Northern Territory,"Manufacturing, Construction, and Trade",1334.4
2016,   Northern Territory,Other Services,1200
2016,   Northern Territory,Primary Industries,1706
2016,   Northern Territory,Public Services and Community Support,1253.4
2016,   Northern Territory,"Professional , Financial and Administrative Services",1377.2
2016,   Queensland,"Manufacturing, Construction, and Trade",1160.6
2016,   Queensland,Other Services,1101
2016,   Queensland,Primary Industries,1490.666667
2016,   Queensland,Public Services and Community Support,1171.4
2016,   Queensland,"Professional , Financial and Administrative Services",1181.4
2016,   South Australia,"Manufacturing, Construction, and Trade",1110.8
2016,   South Australia,Other Services,1013
2016,   South Australia,Primary Industries,1553.666667
2016,   South Australia,Public Services and Community Support,1221.8
2016,   South Australia,"Professional , Financial and Administrative Services",1181
2016,   Tasmania,"Manufacturing, Construction, and Trade",1104.2
2016,   Tasmania,Other Services,890
2016,   Tasmania,Primary Industries,1423
2016,   Tasmania,Public Services and Community Support,1208.8
2016,   Tasmania,"Professional , Financial and Administrative Services",1179.2
2016,   Victoria,"Manufacturing, Construction, and Trade",1180
2016,   Victoria,Other Services,1000
2016,   Victoria,Primary Industries,1583.333333
2016,   Victoria,Public Services and Community Support,1254.2
2016,   Victoria,"Professional , Financial and Administrative Services",1348.4
2016,   Western Australia,"Manufacturing, Construction, and Trade",1294.4
2016,   Western Australia,Other Services,1000
2016,   Western Australia,Primary Industries,1741
2016,   Western Australia,Public Services and Community Support,1280.4
2016,   Western Australia,"Professional , Financial and Administrative Services",1356.6
2017,   Australian Capital Territory,"Manufacturing, Construction, and Trade",1266
2017,   Australian Capital Territory,Other Services,1287
2017,   Australian Capital Territory,Primary Industries,801.6666667
2017,   Australian Capital Territory,Public Services and Community Support,1408.8
2017,   Australian Capital Territory,"Professional , Financial and Administrative Services",1149.8
2017,   New South Wales,"Manufacturing, Construction, and Trade",1193
2017,   New South Wales,Other Services,1099
2017,   New South Wales,Primary Industries,1579
2017,   New South Wales,Public Services and Community Support,1248.4
2017,   New South Wales,"Professional , Financial and Administrative Services",1492.6
2017,   Northern Territory,"Manufacturing, Construction, and Trade",1291.2
2017,   Northern Territory,Other Services,1200
2017,   Northern Territory,Primary Industries,1397.333333
2017,   Northern Territory,Public Services and Community Support,1335.8
2017,   Northern Territory,"Professional , Financial and Administrative Services",1146.8
2017,   Queensland,"Manufacturing, Construction, and Trade",1215.4
2017,   Queensland,Other Services,1065
2017,   Queensland,Primary Industries,1562.666667
2017,   Queensland,Public Services and Community Support,1262.4
2017,   Queensland,"Professional , Financial and Administrative Services",1236
2017,   South Australia,"Manufacturing, Construction, and Trade",1135.2
2017,   South Australia,Other Services,1007
2017,   South Australia,Primary Industries,1471
2017,   South Australia,Public Services and Community Support,1264.4
2017,   South Australia,"Professional , Financial and Administrative Services",1127.2
2017,   Tasmania,"Manufacturing, Construction, and Trade",1082.4
2017,   Tasmania,Other Services,942
2017,   Tasmania,Primary Industries,1521.666667
2017,   Tasmania,Public Services and Community Support,1262
2017,   Tasmania,"Professional , Financial and Administrative Services",1143.8
2017,   Victoria,"Manufacturing, Construction, and Trade",1183.4
2017,   Victoria,Other Services,1127
2017,   Victoria,Primary Industries,1633.666667
2017,   Victoria,Public Services and Community Support,1277.6
2017,   Victoria,"Professional , Financial and Administrative Services",1395.8
2017,   Western Australia,"Manufacturing, Construction, and Trade",1299.8
2017,   Western Australia,Other Services,1182
2017,   Western Australia,Primary Industries,1583.333333
2017,   Western Australia,Public Services and Community Support,1300
2017,   Western Australia,"Professional , Financial and Administrative Services",1387.6
2018,   Australian Capital Territory,"Manufacturing, Construction, and Trade",1005
2018,   Australian Capital Territory,Other Services,1078
2018,   Australian Capital Territory,Primary Industries,0
2018,   Australian Capital Territory,Public Services and Community Support,1131.8
2018,   Australian Capital Territory,"Professional , Financial and Administrative Services",893.6
2018,   New South Wales,"Manufacturing, Construction, and Trade",1264
2018,   New South Wales,Other Services,1130
