Year,Gender,Age_Group,Employment_Status,Average_Employed
1978,Female,15-19 years,Employed full time,233.0692694
1978,Female,15-19 years,Employed part time,71.79914445
1978,Female,15-19 years,Not in the labour force  (NILF) ,261.7091415
1978,Female,15-19 years,Unemployed total,70.17198706
1978,Female,20-24 years,Employed full time,315.037726
1978,Female,20-24 years,Employed part time,57.28571425
1978,Female,20-24 years,Not in the labour force  (NILF) ,187.7758242
1978,Female,20-24 years,Unemployed total,37.18510023
1978,Female,25-29 years,Employed full time,195.1239964
1978,Female,25-29 years,Employed part time,87.85319911
1978,Female,25-29 years,Not in the labour force  (NILF) ,282.2259377
1978,Female,25-29 years,Unemployed total,20.61806675
1978,Female,30-34 years,Employed full time,136.216421
1978,Female,30-34 years,Employed part time,119.6068008
1978,Female,30-34 years,Not in the labour force  (NILF) ,270.0726745
1978,Female,30-34 years,Unemployed total,17.23837423
1978,Female,35-39 years,Employed full time,127.0425365
1978,Female,35-39 years,Employed part time,103.1264565
1978,Female,35-39 years,Not in the labour force  (NILF) ,187.5936279
1978,Female,35-39 years,Unemployed total,11.83283833
1978,Female,40-44 years,Employed full time,115.2867503
1978,Female,40-44 years,Employed part time,90.84436076
1978,Female,40-44 years,Not in the labour force  (NILF) ,163.0511454
1978,Female,40-44 years,Unemployed total,9.364279209
1978,Female,45-49 years,Employed full time,111.5402408
1978,Female,45-49 years,Employed part time,72.71738455
1978,Female,45-49 years,Not in the labour force  (NILF) ,177.0888158
1978,Female,45-49 years,Unemployed total,8.383470573
1978,Female,50-54 years,Employed full time,96.82841879
1978,Female,50-54 years,Employed part time,57.73686725
1978,Female,50-54 years,Not in the labour force  (NILF) ,222.2887658
1978,Female,50-54 years,Unemployed total,5.3902205
1978,Female,55-59 years,Employed full time,61.37629075
1978,Female,55-59 years,Employed part time,41.48138073
1978,Female,55-59 years,Not in the labour force  (NILF) ,246.7270342
1978,Female,55-59 years,Unemployed total,3.464387091
1978,Female,60-64 years,Employed full time,21.14709642
1978,Female,60-64 years,Employed part time,18.38726225
