SA2,SA2 NAME,Number of Jobs ('000)
101021007,Braidwood,3.6
101021008,Karabar,7.1
101021009,Queanbeyan,10.6
101021010,Queanbeyan - East,4.9
101021012,Queanbeyan West - Jerrabomberra,11.5
101021610,Googong,4.9
101021611,Queanbeyan Surrounds,14.4
101031013,Bombala,2.4
101031014,Cooma,5.6
101031015,Cooma Surrounds,3.2
101031016,Jindabyne - Berridale,8.7
101041017,Batemans Bay,5.8
101041018,Batemans Bay - South,5.9
101041019,Bega - Tathra,6.8
101041020,Bega-Eden Hinterland,7.6
101041021,Broulee - Tomakin,2.8
101041022,Deua - Wadbilliga,0
101041023,Eden,2.4
101041024,Eurobodalla Hinterland,2.7
101041025,Merimbula - Tura Beach,8.2
101041026,Moruya - Tuross Head,5.8
101041027,Narooma - Bermagui,6.1
101051539,Goulburn,19.1
101051540,Goulburn Surrounds,11.8
101061541,Yass,5.6
101061542,Yass Surrounds,12
101061543,Young,8.7
101061544,Young Surrounds,6.4
102011028,Avoca Beach - Copacabana,6.6
102011029,Box Head - MacMasters Beach,8.3
102011030,Calga - Kulnura,4.1
102011031,Erina - Green Point,10.2
102011032,Gosford - Springfield,17.6
102011033,Kariong,5.5
102011034,Kincumber - Picketts Valley,5.2
102011035,Narara,5.8
102011036,Niagara Park - Lisarow,6.7
102011037,Point Clare - Koolewong,4.8
102011038,Saratoga - Davistown,5.5
102011039,Terrigal - North Avoca,12.3
102011040,Umina - Booker Bay - Patonga,16.9
102011041,Wamberal - Forresters Beach,8.9
102011042,Woy Woy - Blackwall,9.8
102011043,Wyoming,8.1
102021044,Bateau Bay - Killarney Vale,16.3
102021045,Blue Haven - San Remo,8.4
102021046,Budgewoi - Buff Point - Halekulani,6.6
102021047,Chittaway Bay - Tumbi Umbi,12.5
102021048,Gorokan - Kanwal - Charmhaven,15.2
102021049,Jilliby - Yarramalong,3
102021050,Lake Munmorah - Mannering Park,6.8
102021051,Ourimbah - Fountaindale,4.2
102021052,Summerland Point - Gwandalan,4.6
102021053,The Entrance,13.9
102021054,Toukley - Norah Head,6.6
102021055,Tuggerah - Kangy Angy,4.5
102021056,Warnervale - Wadalba,15.3
102021057,Wyong,6.5
103011059,Bathurst - East,9.8
103011060,Bathurst Surrounds,6.3
103011061,Oberon,3.8
103011612,Bathurst - South,8
103011613,Bathurst - West,12
103021062,Condobolin,5.7
103021063,Cowra,7.1
103021064,Cowra Surrounds,4.6
103021065,Forbes,8.2
103021066,Grenfell,2.7
103021067,Parkes (NSW),8.6
103021068,Parkes Surrounds,2.9
103021069,West Wyalong,4.9
103031070,Lithgow,7.8
103031071,Lithgow Surrounds,6.3
103031072,Mudgee,10.9
103031073,Mudgee Surrounds - East,2.2
103031074,Mudgee Surrounds - West,9.2
103031075,Wollangambe - Wollemi,np
103041076,Blayney,6.4
103041077,Orange,15.3
103041078,Orange - North,19.6
103041079,Orange Surrounds,10.8
104011080,Grafton,12.8
104011081,Grafton Surrounds,11.6
104011082,Maclean - Yamba - Iluka,11.6
104021083,Bellingen,4.7
104021084,Coffs Harbour - North,14.4
104021085,Coffs Harbour - South,8.3
104021086,Coramba - Nana Glen - Bucca,3.6
104021087,Dorrigo,2.4
104021088,Korora - Emerald Beach,8.8
104021089,Sawtell - Boambee,15.7
104021090,Urunga,3.5
104021091,Woolgoolga - Arrawarra,13.3
105011092,Bourke - Brewarrina,3
105011093,Cobar,3.5
105011094,Coonamble,3.2
105011095,Nyngan - Warren,4.5
105011096,Walgett - Lightning Ridge,4.2
105021097,Broken Hill,12.7
105021098,Far West,1.4
105031099,Coonabarabran,5.8
105031100,Dubbo - East,9.7
105031101,Dubbo - South,17.5
105031102,Dubbo - West,8.7
105031103,Dubbo Surrounds,5.6
105031104,Gilgandra,3.5
105031105,Narromine,5.4
105031106,Wellington,6.5
106011107,Branxton - Greta - Pokolbin,10.8
106011108,Cessnock,15.6
106011109,Cessnock Surrounds,7
106011110,Dungog,7.5
106011111,Kurri Kurri - Abermain,14.9
106011112,Singleton,13.6
106011113,Singleton Surrounds,4.7
106021114,Maitland,7
106021116,Maitland - North,7.2
106021614,East Maitland - Metford,14.5
106021615,Rutherford (North) - Aberglasslyn,14
