Date,State,Average_Employed
1978,Australian Capital Territory,66.2272727
1978,New South Wales,56.3272727
1978,Northern Territory,65.3272727
1978,Queensland,55.7909091
1978,South Australia,57.6272727
1978,Tasmania,55.0272727
1978,Victoria,57.9454545
1978,Western Australia,59.0090909
1979,Australian Capital Territory,64.1083333
1979,New South Wales,56.125
1979,Northern Territory,65.7416667
1979,Queensland,55.7416667
1979,South Australia,56.7666667
1979,Tasmania,56.2583333
1979,Victoria,57.775
1979,Western Australia,58.4083333
1980,Australian Capital Territory,65.8916667
1980,New South Wales,57.2583333
1980,Northern Territory,68.775
1980,Queensland,56.175
1980,South Australia,55.8416667
1980,Tasmania,55.3083333
1980,Victoria,58.2
1980,Western Australia,59.5
1981,Australian Capital Territory,65.775
1981,New South Wales,57.1416667
1981,Northern Territory,69.5083333
1981,Queensland,56.3083333
1981,South Australia,56.0416667
1981,Tasmania,55.2
1981,Victoria,58.3
1981,Western Australia,59.6
1982,Australian Capital Territory,63.4333333
1982,New South Wales,55.8333333
1982,Northern Territory,68.1916667
1982,Queensland,56
1982,South Australia,55.1666667
1982,Tasmania,52.5666667
1982,Victoria,56.8916667
1982,Western Australia,58.5333333
1983,Australian Capital Territory,65.0333333
1983,New South Wales,53.5416667
1983,Northern Territory,66.1083333
1983,Queensland,53.8333333
1983,South Australia,52.9583333
1983,Tasmania,51.5083333
1983,Victoria,55.0083333
1983,Western Australia,56.825
1984,Australian Capital Territory,66.2583333
1984,New South Wales,54.525
1984,Northern Territory,58.65
1984,Queensland,54.15
1984,South Australia,53.95
1984,Tasmania,51.775
1984,Victoria,55.7583333
1984,Western Australia,57.225
1985,Australian Capital Territory,67.6083333
1985,New South Wales,54.8666667
1985,Northern Territory,64.3083333
1985,Queensland,54.6166667
1985,South Australia,54.725
1985,Tasmania,53.9666667
1985,Victoria,56.3666667
1985,Western Australia,58.5666667
1986,Australian Capital Territory,68.475
1986,New South Wales,55.6166667
1986,Northern Territory,66.7666667
1986,Queensland,56.1083333
1986,South Australia,55.8583333
1986,Tasmania,54.0416667
1986,Victoria,57.7416667
1986,Western Australia,59.6333333
1987,Australian Capital Territory,67.3833333
1987,New South Wales,55.5166667
1987,Northern Territory,65.3083333
1987,Queensland,55.7416667
1987,South Australia,55.5166667
1987,Tasmania,53.75
1987,Victoria,58.6333333
1987,Western Australia,59.2166667
1988,Australian Capital Territory,69.2083333
1988,New South Wales,56.9333333
1988,Northern Territory,61.9583333
1988,Queensland,57.0333333
1988,South Australia,56.175
1988,Tasmania,55.2833333
1988,Victoria,58.7833333
1988,Western Australia,60.275
1989,Australian Capital Territory,69.4083333
1989,New South Wales,57.7666667
1989,Northern Territory,68.7916667
1989,Queensland,59.0666667
1989,South Australia,57.7333333
1989,Tasmania,55.4
1989,Victoria,60.5916667
1989,Western Australia,61.3
1990,Australian Capital Territory,69.1416667
1990,New South Wales,57.975
1990,Northern Territory,66.7916667
1990,Queensland,59.1333333
1990,South Australia,57.9083333
1990,Tasmania,56.65
1990,Victoria,60.7333333
1990,Western Australia,60.5083333
1991,Australian Capital Territory,67.8583333
1991,New South Wales,56.5333333
1991,Northern Territory,65.2166667
1991,Queensland,57.0833333
1991,South Australia,56.0166667
1991,Tasmania,54.7416667
1991,Victoria,57.0166667
1991,Western Australia,58.3583333
1992,Australian Capital Territory,66.4416667
1992,New South Wales,55.475
1992,Northern Territory,65.8083333
1992,Queensland,57.0416667
1992,South Australia,54.3666667
1992,Tasmania,53.1416667
1992,Victoria,55.7083333
1992,Western Australia,57.6666667
1993,Australian Capital Territory,67.8333333
1993,New South Wales,54.45
1993,Northern Territory,64.0333333
1993,Queensland,56.9083333
1993,South Australia,54.475
1993,Tasmania,52.5
1993,Victoria,54.8666667
1993,Western Australia,58.8916667
1994,Australian Capital Territory,67.9
1994,New South Wales,55.7916667
1994,Northern Territory,63.4
1994,Queensland,58.225
1994,South Australia,54.8083333
1994,Tasmania,53.4166667
1994,Victoria,55.9666667
1994,Western Australia,60.2916667
1995,Australian Capital Territory,67.9
1995,New South Wales,57.3416667
1995,Northern Territory,66.2666667
1995,Queensland,59.2416667
1995,South Australia,55.4666667
1995,Tasmania,54.1083333
1995,Victoria,57.5333333
1995,Western Australia,61.6583333
1996,Australian Capital Territory,66.5333333
1996,New South Wales,57.4166667
1996,Northern Territory,66.1916667
1996,Queensland,58.75
1996,South Australia,55.55
1996,Tasmania,54.3166667
1996,Victoria,57.85
1996,Western Australia,61.15
1997,Australian Capital Territory,66.2583333
1997,New South Wales,57.0083333
1997,Northern Territory,66.3583333
1997,Queensland,58.55
1997,South Australia,55.4333333
1997,Tasmania,52.5083333
1997,Victoria,57.6083333
1997,Western Australia,61.275
1998,Australian Capital Territory,66.6
1998,New South Wales,57.1083333
1998,Northern Territory,66.75
1998,Queensland,59.3083333
1998,South Australia,54.375
1998,Tasmania,53.0333333
1998,Victoria,58.2333333
1998,Western Australia,61.7583333
1999,Australian Capital Territory,67.6
1999,New South Wales,57.575
1999,Northern Territory,67.8333333
1999,Queensland,59.6416667
1999,South Australia,55.4083333
1999,Tasmania,53.025
1999,Victoria,58.0666667
1999,Western Australia,61.6333333
2000,Australian Capital Territory,69.525
2000,New South Wales,58.6083333
2000,Northern Territory,64.8833333
2000,Queensland,59.8333333
2000,South Australia,56.0333333
2000,Tasmania,53.8416667
2000,Victoria,58.925
2000,Western Australia,62.1333333
2001,Australian Capital Territory,68.65
2001,New South Wales,58.3833333
2001,Northern Territory,67.475
2001,Queensland,59.3083333
2001,South Australia,55.6
2001,Tasmania,53.3666667
2001,Victoria,59.325
2001,Western Australia,61.7833333
2002,Australian Capital Territory,69.125
2002,New South Wales,58.5083333
2002,Northern Territory,69.5416667
2002,Queensland,59.9583333
2002,South Australia,56.6416667
2002,Tasmania,52.9166667
2002,Victoria,59.35
2002,Western Australia,61.9833333
2003,Australian Capital Territory,68.7666667
2003,New South Wales,59
2003,Northern Territory,67.7833333
2003,Queensland,60.5583333
2003,South Australia,57.8166667
2003,Tasmania,54.2166667
2003,Victoria,59.725
2003,Western Australia,62.125
2004,Australian Capital Territory,68.9166667
2004,New South Wales,58.9833333
2004,Northern Territory,66.8583333
2004,Queensland,61.2416667
2004,South Australia,57.7583333
2004,Tasmania,55.325
2004,Victoria,59.975
2004,Western Australia,62.2333333
2005,Australian Capital Territory,70.1333333
2005,New South Wales,59.5416667
2005,Northern Territory,64.7166667
2005,Queensland,63.0666667
2005,South Australia,58.8916667
2005,Tasmania,56.425
2005,Victoria,60.9083333
2005,Western Australia,64.5583333
2006,Australian Capital Territory,71.25
2006,New South Wales,59.9333333
2006,Northern Territory,66.5333333
2006,Queensland,63.675
2006,South Australia,59.3583333
2006,Tasmania,57.1583333
2006,Victoria,61.2083333
2006,Western Australia,65.4
2007,Australian Capital Territory,71.15
2007,New South Wales,60.275
2007,Northern Territory,68.675
2007,Queensland,64.8
2007,South Australia,59.425
2007,Tasmania,57.4333333
2007,Victoria,62.0666667
2007,Western Australia,66.1083333
2008,Australian Capital Territory,71.2166667
2008,New South Wales,60.7416667
2008,Northern Territory,69.6666667
2008,Queensland,64.9083333
2008,South Australia,60.2583333
2008,Tasmania,59.1166667
2008,Victoria,62.0833333
2008,Western Australia,66.9416667
2009,Australian Capital Territory,69.8833333
2009,New South Wales,59.725
2009,Northern Territory,71.5416667
2009,Queensland,64.0666667
2009,South Australia,59.8083333
2009,Tasmania,58.0166667
2009,Victoria,61.2416667
2009,Western Australia,65.3833333
2010,Australian Capital Territory,70.775
2010,New South Wales,59.9166667
2010,Northern Territory,70.3
2010,Queensland,63.7833333
2010,South Australia,59.9916667
2010,Tasmania,57.8416667
2010,Victoria,61.9583333
2010,Western Australia,65.3
2011,Australian Capital Territory,69.9583333
2011,New South Wales,60.1666667
2011,Northern Territory,70.3
2011,Queensland,63.55
2011,South Australia,60.05
2011,Tasmania,57.4916667
2011,Victoria,62.2583333
2011,Western Australia,65.425
2012,Australian Capital Territory,69.9416667
2012,New South Wales,59.9333333
2012,Northern Territory,71.1333333
2012,Queensland,62.6833333
2012,South Australia,59.4166667
2012,Tasmania,56.275
2012,Victoria,61.6083333
2012,Western Australia,66.475
2013,Australian Capital Territory,68.8916667
2013,New South Wales,59.9916667
2013,Northern Territory,70.8833333
2013,Queensland,61.9833333
2013,South Australia,58.725
