Month,Labour.force.status...previous.month,Labour.force.status.current.month,Persons.current.month..000.
Aug-24,Employed full-time,Employed full-time,7325.7
Aug-24,Employed full-time,Employed part-time,401.3
Aug-24,Employed full-time,Unemployed,47.7
Aug-24,Employed full-time,Not in the labour force (NILF),109.2
Aug-24,Employed full-time,Unmatched in common sample (responded in current month but not in previous),0
Aug-24,Employed part-time,Employed full-time,354.9
Aug-24,Employed part-time,Employed part-time,2923.3
Aug-24,Employed part-time,Unemployed,38.7
Aug-24,Employed part-time,Not in the labour force (NILF),165.1
Aug-24,Employed part-time,Unmatched in common sample (responded in current month but not in previous),0
Aug-24,Unemployed,Employed full-time,51
Aug-24,Unemployed,Employed part-time,59.7
Aug-24,Unemployed,Unemployed,257.9
Aug-24,Unemployed,Not in the labour force (NILF),116.1
Aug-24,Unemployed,Unmatched in common sample (responded in current month but not in previous),0
Aug-24,Not in the labour force (NILF),Employed full-time,75.1
Aug-24,Not in the labour force (NILF),Employed part-time,171.1
Aug-24,Not in the labour force (NILF),Unemployed,123.4
Aug-24,Not in the labour force (NILF),Not in the labour force (NILF),5292.3
Aug-24,Not in the labour force (NILF),Unmatched in common sample (responded in current month but not in previous),0
Aug-24,Unmatched in common sample (responded in current month but not in previous),Employed full-time,913.4
Aug-24,Unmatched in common sample (responded in current month but not in previous),Employed part-time,410.8
Aug-24,Unmatched in common sample (responded in current month but not in previous),Unemployed,76.9
Aug-24,Unmatched in common sample (responded in current month but not in previous),Not in the labour force (NILF),893.1
Aug-24,Unmatched in common sample (responded in current month but not in previous),Unmatched in common sample (responded in current month but not in previous),0
Aug-24,Incoming rotation group,Employed full-time,1183.5
Aug-24,Incoming rotation group,Employed part-time,527
Aug-24,Incoming rotation group,Unemployed,78.7
Aug-24,Incoming rotation group,Not in the labour force (NILF),891.3
Aug-24,Incoming rotation group,Unmatched in common sample (responded in current month but not in previous),0
Jul-24,Employed full-time,Employed full-time,7275.3
Jul-24,Employed full-time,Employed part-time,332.4
Jul-24,Employed full-time,Unemployed,38.1
Jul-24,Employed full-time,Not in the labour force (NILF),98.2
Jul-24,Employed full-time,Unmatched in common sample (responded in current month but not in previous),0
Jul-24,Employed part-time,Employed full-time,390.6
Jul-24,Employed part-time,Employed part-time,2856.8
Jul-24,Employed part-time,Unemployed,36.2
Jul-24,Employed part-time,Not in the labour force (NILF),180.4
Jul-24,Employed part-time,Unmatched in common sample (responded in current month but not in previous),0
Jul-24,Unemployed,Employed full-time,38.8
Jul-24,Unemployed,Employed part-time,47.7
Jul-24,Unemployed,Unemployed,264.4
Jul-24,Unemployed,Not in the labour force (NILF),96
Jul-24,Unemployed,Unmatched in common sample (responded in current month but not in previous),0
Jul-24,Not in the labour force (NILF),Employed full-time,134.9
Jul-24,Not in the labour force (NILF),Employed part-time,174.6
Jul-24,Not in the labour force (NILF),Unemployed,113
Jul-24,Not in the labour force (NILF),Not in the labour force (NILF),5248.8
Jul-24,Not in the labour force (NILF),Unmatched in common sample (responded in current month but not in previous),0
Jul-24,Unmatched in common sample (responded in current month but not in previous),Employed full-time,962.7
Jul-24,Unmatched in common sample (responded in current month but not in previous),Employed part-time,414.6
Jul-24,Unmatched in common sample (responded in current month but not in previous),Unemployed,85.1
Jul-24,Unmatched in common sample (responded in current month but not in previous),Not in the labour force (NILF),891.6
Jul-24,Unmatched in common sample (responded in current month but not in previous),Unmatched in common sample (responded in current month but not in previous),0
Jul-24,Incoming rotation group,Employed full-time,1219.8
Jul-24,Incoming rotation group,Employed part-time,573.6
Jul-24,Incoming rotation group,Unemployed,84
Jul-24,Incoming rotation group,Not in the labour force (NILF),880.3
Jul-24,Incoming rotation group,Unmatched in common sample (responded in current month but not in previous),0
Jun-24,Employed full-time,Employed full-time,7361.1
Jun-24,Employed full-time,Employed part-time,347.3
Jun-24,Employed full-time,Unemployed,31.7
Jun-24,Employed full-time,Not in the labour force (NILF),140.1
Jun-24,Employed full-time,Unmatched in common sample (responded in current month but not in previous),0
Jun-24,Employed part-time,Employed full-time,407.5
Jun-24,Employed part-time,Employed part-time,2995.9
Jun-24,Employed part-time,Unemployed,36.6
Jun-24,Employed part-time,Not in the labour force (NILF),197.8
Jun-24,Employed part-time,Unmatched in common sample (responded in current month but not in previous),0
Jun-24,Unemployed,Employed full-time,40.8
Jun-24,Unemployed,Employed part-time,57.9
Jun-24,Unemployed,Unemployed,242.7
Jun-24,Unemployed,Not in the labour force (NILF),90.7
Jun-24,Unemployed,Unmatched in common sample (responded in current month but not in previous),0
Jun-24,Not in the labour force (NILF),Employed full-time,101.8
Jun-24,Not in the labour force (NILF),Employed part-time,167.8
Jun-24,Not in the labour force (NILF),Unemployed,117
Jun-24,Not in the labour force (NILF),Not in the labour force (NILF),5311.4
Jun-24,Not in the labour force (NILF),Unmatched in common sample (responded in current month but not in previous),0
Jun-24,Unmatched in common sample (responded in current month but not in previous),Employed full-time,833.8
Jun-24,Unmatched in common sample (responded in current month but not in previous),Employed part-time,340.7
Jun-24,Unmatched in common sample (responded in current month but not in previous),Unemployed,63.8
Jun-24,Unmatched in common sample (responded in current month but not in previous),Not in the labour force (NILF),786.3
Jun-24,Unmatched in common sample (responded in current month but not in previous),Unmatched in common sample (responded in current month but not in previous),0
Jun-24,Incoming rotation group,Employed full-time,1185.9
Jun-24,Incoming rotation group,Employed part-time,564.8
Jun-24,Incoming rotation group,Unemployed,94.4
Jun-24,Incoming rotation group,Not in the labour force (NILF),870.8
Jun-24,Incoming rotation group,Unmatched in common sample (responded in current month but not in previous),0
May-24,Employed full-time,Employed full-time,7370.9
May-24,Employed full-time,Employed part-time,349
May-24,Employed full-time,Unemployed,32
May-24,Employed full-time,Not in the labour force (NILF),99.8
May-24,Employed full-time,Unmatched in common sample (responded in current month but not in previous),0
May-24,Employed part-time,Employed full-time,377.8
May-24,Employed part-time,Employed part-time,3027.2
May-24,Employed part-time,Unemployed,33.4
May-24,Employed part-time,Not in the labour force (NILF),165.6
May-24,Employed part-time,Unmatched in common sample (responded in current month but not in previous),0
May-24,Unemployed,Employed full-time,43.4
May-24,Unemployed,Employed part-time,60
May-24,Unemployed,Unemployed,264.3
May-24,Unemployed,Not in the labour force (NILF),114.7
May-24,Unemployed,Unmatched in common sample (responded in current month but not in previous),0
May-24,Not in the labour force (NILF),Employed full-time,119.4
May-24,Not in the labour force (NILF),Employed part-time,194.3
May-24,Not in the labour force (NILF),Unemployed,122.8
May-24,Not in the labour force (NILF),Not in the labour force (NILF),5321.7
May-24,Not in the labour force (NILF),Unmatched in common sample (responded in current month but not in previous),0
May-24,Unmatched in common sample (responded in current month but not in previous),Employed full-time,748.6
May-24,Unmatched in common sample (responded in current month but not in previous),Employed part-time,339.1
May-24,Unmatched in common sample (responded in current month but not in previous),Unemployed,62.3
May-24,Unmatched in common sample (responded in current month but not in previous),Not in the labour force (NILF),776.6
May-24,Unmatched in common sample (responded in current month but not in previous),Unmatched in common sample (responded in current month but not in previous),0
May-24,Incoming rotation group,Employed full-time,1228.3
May-24,Incoming rotation group,Employed part-time,556
May-24,Incoming rotation group,Unemployed,76.2
May-24,Incoming rotation group,Not in the labour force (NILF),864.5
May-24,Incoming rotation group,Unmatched in common sample (responded in current month but not in previous),0
Apr-24,Employed full-time,Employed full-time,7325.8
Apr-24,Employed full-time,Employed part-time,380.5
Apr-24,Employed full-time,Unemployed,34.5
Apr-24,Employed full-time,Not in the labour force (NILF),128.5
Apr-24,Employed full-time,Unmatched in common sample (responded in current month but not in previous),0
Apr-24,Employed part-time,Employed full-time,355.2
Apr-24,Employed part-time,Employed part-time,2990.7
Apr-24,Employed part-time,Unemployed,38.7
