State and territory,Leave entitlements,Industry,Classification,Category,Median,Median Male,Median Female
Australia,Total employees,"Agriculture, forestry and fishing",Full-time or part-time status,Full-time,1250,1244.5,1275.5
Australia,Total employees,Mining,Full-time or part-time status,Full-time,2452.3,2612.6,1738.2
Australia,Total employees,Manufacturing,Full-time or part-time status,Full-time,1512.1,1571,1400
Australia,Total employees,"Electricity, gas, water and waste services",Full-time or part-time status,Full-time,2000,2052.7,1701.5
Australia,Total employees,Construction,Full-time or part-time status,Full-time,1538,1550,1400
Australia,Total employees,Wholesale trade,Full-time or part-time status,Full-time,1472.2,1507,1301.6
Australia,Total employees,Retail trade,Full-time or part-time status,Full-time,1228.9,1349.5,1150
Australia,Total employees,Accommodation and food services,Full-time or part-time status,Full-time,1193.1,1247.2,1114
Australia,Total employees,"Transport, postal and warehousing",Full-time or part-time status,Full-time,1550.5,1605.5,1397.3
Australia,Total employees,Information Media and telecommunications,Full-time or part-time status,Full-time,1803.1,1918.4,1600
Australia,Total employees,Financial and insurance services,Full-time or part-time status,Full-time,1899,2199.4,1686.2
Australia,Total employees,"Rental, hiring and real estate services",Full-time or part-time status,Full-time,1395,1455.7,1301.9
Australia,Total employees,"Professional, scientific and technical services",Full-time or part-time status,Full-time,1900,2109,1726
Australia,Total employees,Administrative and support services,Full-time or part-time status,Full-time,1400,1531.4,1343.6
Australia,Total employees,Public administration and safety,Full-time or part-time status,Full-time,1750,1800,1724.3
Australia,Total employees,Education and training,Full-time or part-time status,Full-time,1750,1931.9,1690.6
Australia,Total employees,Health care and social assistance,Full-time or part-time status,Full-time,1579.4,1750,1530
Australia,Total employees,Arts and recreation services,Full-time or part-time status,Full-time,1450,1596.8,1300
Australia,Total employees,Other services,Full-time or part-time status,Full-time,1350,1488.8,1160
Australia,Total employees,Total,Full-time or part-time status,Full-time,1600,1692,1500
   New South Wales,Total employees,"Agriculture, forestry and fishing",Full-time or part-time status,Full-time,1216.8,1200,0
   New South Wales,Total employees,Mining,Full-time or part-time status,Full-time,2750.6,2822.4,0
   New South Wales,Total employees,Manufacturing,Full-time or part-time status,Full-time,1607.5,1650,1525.6
   New South Wales,Total employees,"Electricity, gas, water and waste services",Full-time or part-time status,Full-time,1903.2,1942.9,1454.5
   New South Wales,Total employees,Construction,Full-time or part-time status,Full-time,1501,1501.1,1589.8
   New South Wales,Total employees,Wholesale trade,Full-time or part-time status,Full-time,1491.2,1503.4,1336
   New South Wales,Total employees,Retail trade,Full-time or part-time status,Full-time,1301.6,1361.4,1200
   New South Wales,Total employees,Accommodation and food services,Full-time or part-time status,Full-time,1252.8,1385.2,1199.8
   New South Wales,Total employees,"Transport, postal and warehousing",Full-time or part-time status,Full-time,1567.8,1629.3,1399.7
   New South Wales,Total employees,Information Media and telecommunications,Full-time or part-time status,Full-time,2006.1,2301,1768.4
   New South Wales,Total employees,Financial and insurance services,Full-time or part-time status,Full-time,2202,2401.2,2000
   New South Wales,Total employees,"Rental, hiring and real estate services",Full-time or part-time status,Full-time,1412.9,1738.3,1332
   New South Wales,Total employees,"Professional, scientific and technical services",Full-time or part-time status,Full-time,2000,2224.8,1818.6
   New South Wales,Total employees,Administrative and support services,Full-time or part-time status,Full-time,1424,1746.6,1270.9
   New South Wales,Total employees,Public administration and safety,Full-time or part-time status,Full-time,1768.4,1748,1842
   New South Wales,Total employees,Education and training,Full-time or part-time status,Full-time,1775,1912.6,1749.7
   New South Wales,Total employees,Health care and social assistance,Full-time or part-time status,Full-time,1600,1726,1558
   New South Wales,Total employees,Arts and recreation services,Full-time or part-time status,Full-time,1355.3,1379.8,1300
   New South Wales,Total employees,Other services,Full-time or part-time status,Full-time,1250,1464.6,1099.3
   New South Wales,Total employees,Total,Full-time or part-time status,Full-time,1610,1685,1534
   Victoria,Total employees,"Agriculture, forestry and fishing",Full-time or part-time status,Full-time,1136.1,1183.5,1017.4
   Victoria,Total employees,Mining,Full-time or part-time status,Full-time,2471.2,2542.2,0
   Victoria,Total employees,Manufacturing,Full-time or part-time status,Full-time,1498.9,1531,1349
   Victoria,Total employees,"Electricity, gas, water and waste services",Full-time or part-time status,Full-time,2215.7,2231.8,2143.9
   Victoria,Total employees,Construction,Full-time or part-time status,Full-time,1621.4,1644.6,1517.1
   Victoria,Total employees,Wholesale trade,Full-time or part-time status,Full-time,1577.1,1600,1456
   Victoria,Total employees,Retail trade,Full-time or part-time status,Full-time,1282.8,1449,1200
   Victoria,Total employees,Accommodation and food services,Full-time or part-time status,Full-time,1103.3,1150,1098
   Victoria,Total employees,"Transport, postal and warehousing",Full-time or part-time status,Full-time,1544.9,1600,1400.5
   Victoria,Total employees,Information Media and telecommunications,Full-time or part-time status,Full-time,1761.3,1872.3,1519.5
   Victoria,Total employees,Financial and insurance services,Full-time or part-time status,Full-time,1825.6,2201.9,1476.4
   Victoria,Total employees,"Rental, hiring and real estate services",Full-time or part-time status,Full-time,1382.9,1284.7,1439.6
   Victoria,Total employees,"Professional, scientific and technical services",Full-time or part-time status,Full-time,1841,1998.4,1579
   Victoria,Total employees,Administrative and support services,Full-time or part-time status,Full-time,1623.8,1501.4,1685.1
   Victoria,Total employees,Public administration and safety,Full-time or part-time status,Full-time,1750,1931.9,1650
   Victoria,Total employees,Education and training,Full-time or part-time status,Full-time,1748.3,2012.5,1627.2
   Victoria,Total employees,Health care and social assistance,Full-time or part-time status,Full-time,1651.1,1760,1580.5
   Victoria,Total employees,Arts and recreation services,Full-time or part-time status,Full-time,1610,1706.5,1336.1
   Victoria,Total employees,Other services,Full-time or part-time status,Full-time,1350,1322.7,1350
   Victoria,Total employees,Total,Full-time or part-time status,Full-time,1599.9,1688.1,1500
   Queensland,Total employees,"Agriculture, forestry and fishing",Full-time or part-time status,Full-time,1424.3,1500,1387.1
   Queensland,Total employees,Mining,Full-time or part-time status,Full-time,2211.5,2430.7,1532
