"Date","State","Employed_Persons"
"Feb-1978","New.South.Wales",2114.1
"Feb-1978","Victoria",1629
"Feb-1978","Queensland",861.7
"Feb-1978","South.Australia",555
"Feb-1978","Western.Australia",522.9
"Feb-1978","Tasmania",166.8
"Feb-1978","Northern.Territory",41.3
"Feb-1978","Australian.Capital.Territory",94.9
"Mar-1978","New.South.Wales",2110.2
"Mar-1978","Victoria",1652.7
"Mar-1978","Queensland",874.3
"Mar-1978","South.Australia",564.1
"Mar-1978","Western.Australia",530.7
"Mar-1978","Tasmania",167.6
"Mar-1978","Northern.Territory",45.8
"Mar-1978","Australian.Capital.Territory",95.2
"Apr-1978","New.South.Wales",2115.1
"Apr-1978","Victoria",1664.8
"Apr-1978","Queensland",876.2
"Apr-1978","South.Australia",561.7
"Apr-1978","Western.Australia",531.7
"Apr-1978","Tasmania",167.5
"Apr-1978","Northern.Territory",43.5
"Apr-1978","Australian.Capital.Territory",93.8
"May-1978","New.South.Wales",2111.3
"May-1978","Victoria",1656.6
"May-1978","Queensland",872
"May-1978","South.Australia",557.4
"May-1978","Western.Australia",532.5
"May-1978","Tasmania",166.1
"May-1978","Northern.Territory",45.6
"May-1978","Australian.Capital.Territory",96.7
"Jun-1978","New.South.Wales",2113.2
"Jun-1978","Victoria",1653.6
"Jun-1978","Queensland",867.5
"Jun-1978","South.Australia",562.5
"Jun-1978","Western.Australia",532.2
"Jun-1978","Tasmania",163.9
"Jun-1978","Northern.Territory",43.1
"Jun-1978","Australian.Capital.Territory",95.3
"Jul-1978","New.South.Wales",2117.2
"Jul-1978","Victoria",1655
"Jul-1978","Queensland",870.7
"Jul-1978","South.Australia",559.8
"Jul-1978","Western.Australia",525.3
"Jul-1978","Tasmania",165.6
"Jul-1978","Northern.Territory",45.2
"Jul-1978","Australian.Capital.Territory",97.3
"Aug-1978","New.South.Wales",2103.3
"Aug-1978","Victoria",1638.7
"Aug-1978","Queensland",881.5
"Aug-1978","South.Australia",553.3
"Aug-1978","Western.Australia",519.2
"Aug-1978","Tasmania",165.8
"Aug-1978","Northern.Territory",46.4
"Aug-1978","Australian.Capital.Territory",97.1
"Sep-1978","New.South.Wales",2113.9
"Sep-1978","Victoria",1639.5
"Sep-1978","Queensland",886.1
"Sep-1978","South.Australia",552.7
"Sep-1978","Western.Australia",522.6
"Sep-1978","Tasmania",165.2
"Sep-1978","Northern.Territory",47.9
"Sep-1978","Australian.Capital.Territory",96.3
"Oct-1978","New.South.Wales",2125.8
"Oct-1978","Victoria",1635.3
"Oct-1978","Queensland",894.4
"Oct-1978","South.Australia",554
"Oct-1978","Western.Australia",526.5
